country,region,year,score,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,eb_log_gdp_per_capita,eb_social_support,eb_healthy_life_expectancy,eb_freedom_to_make_life_choices,eb_generosity,eb_perceptions_of_corruption
Afghanistan,South Asia,2015,3.575000048,7.556314945,0.514354289,49.68011475,0.538429558,0.167474508,0.81187737,0.319820851,0.302853048,0.303354174,0.234137744,0.365103781,0.097188368
Albania,Central and Eastern Europe,2015,4.959000111,9.269684792,0.724589467,68.10516357,0.655295372,-0.114963196,0.864195228,0.878674865,0.804339111,0.813253522,0.357325524,0.142724946,0.064126752
Algeria,Middle East and North Africa,2015,5.605000019,9.455523491,0.839197159,61.03742599,0.587427616,-0.196885318,0.690593839,0.939290345,1.07771945,0.617659211,0.28578639,0.078223124,0.173831969
Angola,Sub-Saharan Africa,2015,4.032999992,8.899051666,0.748090804,44.74675369,0.414821655,-0.13945888,0.852977574,0.757784545,0.860398233,0.166827112,0.103843182,0.123438142,0.071215607
Argentina,Latin America and Caribbean,2015,6.573999882,9.805690765,0.910680711,67.16481781,0.74296385,-0.150800332,0.831423283,1.053505182,1.248233318,0.787230134,0.449736476,0.11450839,0.084836572
Armenia,Commonwealth of Independent States,2015,4.349999905,8.931020737,0.713175714,65.09311676,0.504595757,-0.196466073,0.90394932,0.768211961,0.777113259,0.72989738,0.198473677,0.078553222,0.039004657
Australia,North America and ANZ,2015,7.28399992,10.66437435,0.936251402,72.37998199,0.934129834,0.25703004,0.401746958,1.333584189,1.309228539,0.931555867,0.651243746,0.435615838,0.356365114
Austria,Western Europe,2015,7.199999809,10.67555904,0.931142211,70.89360809,0.90860188,0.124014005,0.670133412,1.337232232,1.297041297,0.890421629,0.624334812,0.330884933,0.186761677
Azerbaijan,Commonwealth of Independent States,2015,5.211999893,9.714889526,0.780594885,61.86105728,0.667600513,-0.197177783,0.71144712,1.02388835,0.937932074,0.640452564,0.370296299,0.077992857,0.160654008
Bahrain,Middle East and North Africa,2015,5.960000038,10.63426113,0.897270024,65.7168045,0.747879267,-0.075722456,0.481451124,1.323762059,1.216243982,0.747157454,0.454917789,0.173621356,0.305997074
Bangladesh,South Asia,2015,4.693999767,7.794554234,0.568101943,60.45843124,0.7035622,-0.026702447,0.766768396,0.397527933,0.431060433,0.601635933,0.408203363,0.21221754,0.125694424
Belarus,Commonwealth of Independent States,2015,5.813000202,9.739522934,0.90424639,65.31640625,0.676215351,-0.155937225,0.663580894,1.031923056,1.232885122,0.736076772,0.379377186,0.110463828,0.190902457
Belgium,Western Europe,2015,6.936999798,10.58537292,0.926372409,71.11927032,0.870814443,-0.013645837,0.608997643,1.307816029,1.285663605,0.896666646,0.584503233,0.222497731,0.225395665
Benin,Sub-Saharan Africa,2015,3.339999914,7.454632759,0.535738528,50.24900818,0.775939822,-0.064318918,0.838918984,0.286654919,0.353862107,0.319097847,0.484496325,0.182599992,0.080099761
Bhutan,South Asia,2015,5.252999783,8.937794685,0.85019356,59.46221542,0.821066856,0.31337887,0.721267045,0.770421445,1.103949785,0.574066401,0.532064557,0.479982406,0.15444842
Bolivia,Latin America and Caribbean,2015,5.889999866,8.664662361,0.797565699,58.20220947,0.860981047,-0.035406888,0.82642144,0.681333244,0.978413522,0.53919673,0.574137926,0.205364034,0.087997429
Bosnia and Herz.,Central and Eastern Europe,2015,4.948999882,9.127297401,0.772723079,67.29405975,0.404013067,0.018851038,0.96208638,0.832231998,0.919155002,0.79080683,0.092449896,0.248084307,0.002265672
Botswana,Sub-Saharan Africa,2015,4.331999779,9.621862411,0.850481033,40.44430542,0.785856605,-0.163377523,0.76827395,0.993545473,1.104635477,0.047760095,0.494949549,0.104605667,0.124743
Brazil,Latin America and Caribbean,2015,6.982999802,9.584126472,0.904241323,63.90522003,0.781625569,-0.111135721,0.688408315,0.981237054,1.232873082,0.697023213,0.490489632,0.145738527,0.175213084
Bulgaria,Central and Eastern Europe,2015,4.217999935,9.678918839,0.851111531,66.41539001,0.606480479,-0.144828111,0.951871812,1.012155771,1.106139421,0.766490281,0.305869937,0.119210646,0.008720639
Burkina Faso,Sub-Saharan Africa,2015,3.586999893,7.367134094,0.744521439,48.51991272,0.690965474,-0.020036876,0.762613952,0.258115262,0.851884007,0.271246433,0.394925207,0.217465699,0.12831977
Burundi,Sub-Saharan Africa,2015,2.904999971,6.622704983,0.56173259,46.81126785,0.428722262,-0.045688577,0.806447208,0.015303019,0.415867239,0.223960981,0.118495755,0.197268695,0.10061989
Cambodia,Southeast Asia,2015,3.819000006,7.987250805,0.650393963,60.8017807,0.9447667,0.216356635,0.850991607,0.460380256,0.627356291,0.611137867,0.662456036,0.403591365,0.07247062
Cameroon,Sub-Saharan Africa,2015,4.251999855,7.871113777,0.759524286,47.17487717,0.784092605,-0.034369841,0.8741166,0.422499567,0.887671173,0.234023601,0.493090123,0.206180543,0.05785707
Canada,North America and ANZ,2015,7.427000046,10.64201641,0.941860437,71.44319153,0.916791618,0.285598069,0.444143742,1.326291561,1.322608113,0.905630887,0.632967591,0.458109021,0.329573005
Central African Republic,Sub-Saharan Africa,2015,3.677999973,6.81646204,0.387390912,41.13923645,0.780017793,0.006486155,0.834498882,0.078501232,0,0.066991791,0.488794893,0.238348737,0.082892984
Chad,Sub-Saharan Africa,2015,3.667000055,7.624094486,0.706260622,44.14233398,0.539253175,-0.062716626,0.882297575,0.341928661,0.760618269,0.150100246,0.235005915,0.183861569,0.052687205
Chile,Latin America and Caribbean,2015,6.670000076,9.970168114,0.858794332,69.7425766,0.734980047,0.127505362,0.762026429,1.107153177,1.124465704,0.858567655,0.441320777,0.33363387,0.128691047
