Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Confidence in national government,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Afghanistan,South Asia,2017,3.7940000000000000,0.401,0.5820000000000000,0.18100000000000000,0.106,0.312,0.061,7.460143566,0.49088007200000000,52.33952713,0.427010864,-0.106340349,0.9543925520000000,0.49634856,0.261178523,,0.28659886100000000
Albania,Central and Eastern Europe,2017,4.644,0.996,0.804,0.731,0.381,0.201,0.04,9.373718262,0.6376982930000000,69.05165863,0.74961102,-0.035140377,0.876134634,0.669240892,0.457737535,0.30325,0.41048798
Algeria,Middle East and North Africa,2017,5.872000000000000,1.092,1.146,0.618,0.233,0.069,0.146,9.540244102,0.8067538740000000,65.69918823,0.436670482,-0.19467012600000000,0.699774206,0.641979635,,0.276,0.527555764
Angola,Sub-Saharan Africa,2017,3.795,0.858,1.104,0.05,0.0,0.098,0.07,,,,,,,,,,
Argentina,Latin America and Caribbean,2017,6.599,1.185,1.44,0.695,0.495,0.109,0.06,9.843519211,0.9066991210000000,67.53870392,0.8319661620000000,-0.186299905,0.841052473,0.809422612,0.305430293,0.47606666700000000,0.39417579800000000
Armenia,Commonwealth of Independent States,2017,4.376,0.9010000000000000,1.0070000000000000,0.638,0.198,0.083,0.027000000000000000,9.034710884000000,0.6979249120000000,65.12568665,0.613697052,-0.132166177,0.86468333,0.6250138280000000,0.24690099100000000,0.325066667,0.478876591
Australia,North America and ANZ,2017,7.284,1.484,1.51,0.8440000000000000,0.602,0.478,0.301,10.71182728,0.9499578480000000,72.78334045,0.9105501770000000,0.301693261,0.411346525,0.7800788880000000,0.45340696,0.34275,0.428340912
Austria,Western Europe ,2017,7.006,1.4870000000000000,1.46,0.815,0.568,0.316,0.221,10.71622562,0.9062178130000000,72.35971069,0.8900305630000000,0.124996737,0.518303812,0.747568727,0.43590793,0.303818182,0.322941631
Azerbaijan,Commonwealth of Independent States,2017,5.234,1.1540000000000000,1.1520000000000000,0.541,0.39800000000000000,0.045,0.18100000000000000,9.65392971,0.7870393990000000,63.07531357,0.731030464,-0.24748066100000000,0.652539015,0.592359245,0.7665834430000000,0.228833333,0.313743263
Bahrain,Middle East and North Africa,2017,6.087000000000000,1.4880000000000000,1.3230000000000000,0.653,0.537,0.17300000000000000,0.257,10.68671322,0.8757471440000000,66.12399292,0.9058585170000000,0.120759174,,0.8135705590000000,,,0.446609318
Bangladesh,South Asia,2017,4.6080000000000000,0.5870000000000000,0.735,0.5330000000000000,0.478,0.172,0.124,8.163092613,0.7125527860000000,62.50415421,0.896217167,0.017536195,0.635014474,0.568827093,0.876646459,0.32900000000000000,0.53275013
Belarus,Commonwealth of Independent States,2017,5.569,1.157,1.445,0.638,0.295,0.155,0.156,9.719829559000000,0.9002557990000000,66.60596466,0.620979249,-0.130582094,0.6541134120000000,0.540905774,0.44791629900000000,0.281875,0.28325021300000000
Belgium,Western Europe,2017,6.891,1.464,1.462,0.818,0.54,0.23200000000000000,0.251,10.65765381,0.921639085,72.14292908,0.856801987,0.045481469000000000,0.5430460570000000,0.786367595,0.449731916,0.28518181800000000,0.35437384200000000
Belize,Latin America and Caribbean,2017,5.956,0.9080000000000000,1.081,0.45,0.5480000000000000,0.24,0.09700000000000000,,,,,,,,,,
Benin,Sub-Saharan Africa,2017,3.657,0.431,0.435,0.21,0.426,0.20800000000000000,0.061,7.632502556,0.435878992,51.79475021,0.72680825,-0.040269434,0.767234623,0.614722311,0.615089297,0.432666667,0.5770697000000000
Bhutan,South Asia,2017,5.011,0.885,1.34,0.496,0.502,0.474,0.17300000000000000,,,,,,,,,,
Bolivia,Latin America and Caribbean,2017,5.8230000000000000,0.8340000000000000,1.228,0.474,0.5590000000000000,0.226,0.06,8.832608223,0.778661788,60.34379578,0.883904934,-0.11598785200000000,0.819261968,0.698195398,0.42763295800000000,0.531642857,0.40588659
Bosnia and Herzegovina,Central and Eastern Europe,2017,5.182,0.982,1.069,0.705,0.204,0.32900000000000000,0.0,9.371712685,0.775295258,67.99448395,0.5637986660000000,0.089589462,0.923343062,0.5973416570000000,0.126379713,0.32725,0.486203879
Botswana,Sub-Saharan Africa,2017,3.766,1.122,1.222,0.342,0.505,0.099,0.099,9.6836586,0.7682586310000000,58.01321411,0.8173080090000000,-0.258249283,0.731441498,0.6563964490000000,0.770821095,0.626,0.637864351
Brazil,Latin America and Caribbean,2017,6.635,1.107,1.431,0.617,0.43700000000000000,0.162,0.111,9.547693253,0.9046942590000000,65.45373535,0.764792562,-0.187264696,0.794457376,0.715945125,0.16549027,0.550214286,0.39262256
Bulgaria,Central and Eastern Europe,2017,4.7140000000000000,1.161,1.4340000000000000,0.708,0.289,0.113,0.011000000000000000,9.822961807,0.94175458,66.4154892,0.6890470390000000,-0.160038665,0.910799742,0.614216745,0.326087952,0.35466666700000000,0.343219519
Burkina Faso,Sub-Saharan Africa,2017,4.032,0.35,1.043,0.21600000000000000,0.324,0.251,0.12,7.4345312120000000,0.784761369,52.3994751,0.6137747170000000,-0.051286779000000000,0.727451324,0.5851724740000000,0.540656149,0.394666667,0.553144336
Burundi,Sub-Saharan Africa,2017,2.905,0.092,0.63,0.152,0.06,0.204,0.084,,,,,,,,,,
Cambodia,Southeast Asia,2017,4.168,0.602,1.006,0.43,0.633,0.386,0.068,8.202580452000000,0.7650949360000000,58.63087463,0.963774681,0.08671936400000000,0.821022928,0.798616648,0.752442479,,0.545690596
Cameroon,Sub-Saharan Africa,2017,4.695,0.564,0.946,0.133,0.43,0.23600000000000000,0.051,8.128399849,0.69459641,50.14022446,0.7669450040000000,-0.031055631,0.84358561,0.632338762,0.578775525,0.43800000000000000,0.565237224
Canada,North America and ANZ,2017,7.316,1.479,1.4810000000000000,0.835,0.611,0.436,0.287,,,,,,,,,,
Central African Republic,Sub-Saharan Africa,2017,2.693,0.0,0.0,0.019,0.271,0.281,0.057,,0.319589138,44.64535141,0.645252347,,0.8895660040000000,0.6138651970000000,0.650284886,0.499,0.715371251
Chad,Sub-Saharan Africa,2017,3.9360000000000000,0.43800000000000000,0.9540000000000000,0.041000000000000000,0.162,0.21600000000000000,0.054000000000000000,7.490785122,0.660615563,45.98406219,0.614849687,-0.002929057,0.792389929,0.627503157,0.473544389,0.4155,0.561519265
Chile,Latin America and Caribbean,2017,6.652,1.253,1.284,0.8190000000000000,0.377,0.327,0.08200000000000000,10.03757858,0.8798407910000000,69.60894012,0.7901164890000000,-0.035265177,0.835987508,0.83847481,0.268283308,0.491571429,0.574647009
China,East Asia,2017,5.273,1.081,1.161,0.741,0.473,0.029000000000000000,0.023,9.635466576,0.772033215,69.30279541,0.8776175980000000,-0.194634736,,0.821097255,,0.425,0.6333549620000000
Colombia,Latin America and Caribbean,2017,6.357,1.071,1.402,0.595,0.47700000000000000,0.149,0.047,9.490860939,0.909249961,64.13578033,0.8375546340000000,-0.165878147,0.87501812,0.8369269970000000,0.221882597,0.5525,0.542027473
Congo (Brazzaville),Sub-Saharan Africa,2017,4.291,0.809,0.8320000000000000,0.29,0.435,0.121,0.08,8.559967995,0.655440509,55.28945923,0.777783453,-0.168748975,0.76278311,0.598951638,0.469826549,0.48100000000000000,0.477259427
Congo (Kinshasa),Sub-Saharan Africa,2017,4.28,0.092,1.229,0.191,0.23600000000000000,0.24600000000000000,0.06,6.625340939,0.669688404,50.78821945,0.704239547,0.09579253900000000,0.8091818690000000,0.550525904,0.47841230000000000,0.4215,0.63245213
Costa Rica,Latin America and Caribbean,2017,7.079,1.11,1.416,0.76,0.58,0.215,0.1,9.67063427,0.92169714,69.86730194,0.93561846,-0.078268528,0.7423507570000000,0.8743958470000000,0.407448441,0.4913125,0.469308227
Croatia,Central and Eastern Europe,2017,5.293000000000000,1.2230000000000000,0.968,0.701,0.256,0.248,0.043,10.01418877,0.770309687,67.01551056,0.7158222790000000,-0.10941725200000000,0.89155972,0.655305028,0.211000666,0.323333333,0.338284969
Cyprus,Western Europe,2017,5.621,1.3560000000000000,1.131,0.845,0.355,0.271,0.041000000000000000,10.36136723,0.818671048,72.76279449,0.811670661,0.036286667,0.8512064220000000,0.7841884490000000,0.312653422,0.32490909100000000,0.41013842800000000
Czech Republic,Central and Eastern Europe,2017,6.609,1.3530000000000000,1.4340000000000000,0.754,0.491,0.08800000000000000,0.037000000000000000,10.39345932,0.900968969,71.45102692,0.8317855,-0.18459008600000000,0.866524994,0.738743961,0.343870819,0.264727273,0.282945663
Denmark,Western Europe ,2017,7.522,1.482,1.551,0.7930000000000000,0.626,0.355,0.401,10.74898911,0.952100098,71.66249847,0.955416322,0.14538709800000000,0.18114756,0.8236674070000000,0.572353303,0.267090909,0.630812943
Dominican Republic,Latin America and Caribbean,2017,5.23,1.079,1.402,0.575,0.5530000000000000,0.187,0.114,9.594573975,0.894368112,63.49599457,0.8553590180000000,-0.127092183,0.760489643,0.7389436360000000,0.45990133300000000,0.4886875,0.48091322200000000
Ecuador,Latin America and Caribbean,2017,6.008000000000000,1.001,1.286,0.6860000000000000,0.455,0.15,0.14,9.22326088,0.8489417430000000,67.34206390000000,0.879128158,-0.169955462,0.733588755,0.8291419740000000,0.640512884,0.505928571,0.41333431
Egypt,Middle East and North Africa,2017,4.735,0.99,0.997,0.52,0.282,0.129,0.114,9.260223389,0.63822639,61.573791500000000,0.592504799,-0.161944747,,0.539322555,,0.3122,0.38081485
El Salvador,Latin America and Caribbean,2017,6.003000000000000,0.91,1.182,0.596,0.43200000000000000,0.078,0.09,9.001176834000000,0.82895261,64.31137085,0.757827342,-0.180290967,0.777748585,0.848850608,0.27023506200000000,0.4611875,0.402195245
