Country,Region indicator,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,"Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Perceptions of corruption, 2015-2017"
Finland,Western Europe,2018,7.632000000000000,1.305,1.5920000000000000,0.8740000000000000,0.6810000000000000,0.192,0.39300000000000000,10.58847332,39674.87109,71.51750183,0.95614934,0.946693718,0.42138099700000000,0.221270055
Norway,Western Europe,2018,7.594000000000000,1.456,1.5820000000000000,0.861,0.6860000000000000,0.28600000000000000,0.34,11.07193184,64339.67969,71.086586,0.952147007,0.951561332,0.625536561,0.31961032700000000
Denmark,Western Europe,2018,7.555,1.351,1.59,0.868,0.6830000000000000,0.284,0.408,10.73639584,45999.96094,71.31227112,0.9554622770000000,0.9488952760000000,0.579054058,0.193662241
Iceland,Western Europe,2018,7.495,1.3430000000000000,1.6440000000000000,0.914,0.677,0.353,0.138,10.71117878,44854.48047,72.75598145,0.9774973990000000,0.943218648,0.684818447,0.691877782
Switzerland,Western Europe,2018,7.487,1.42,1.5490000000000000,0.927,0.66,0.256,0.35700000000000000,10.95663357,57333.109380000000,73.17375946,0.938522935,0.9291521910000000,0.549966753,0.288247705
Netherlands,Western Europe,2018,7.441,1.361,1.4880000000000000,0.878,0.638,0.33300000000000000,0.295,10.76772881,47464.09375,71.61999512,0.9137107730000000,0.9108868840000000,0.656768739,0.40284854200000000
Canada,North America and ANZ,2018,7.328000000000000,1.33,1.5320000000000000,0.8960000000000000,0.653,0.321,0.29100000000000000,10.66978168,43035.54688,72.19080353,0.931540191,0.923505962,0.6256810430000000,0.40965575
New Zealand,North America and ANZ,2018,7.324,1.268,1.601,0.8760000000000000,0.669,0.365,0.389,10.46938705,35220.62109,71.56855011,0.959618747,0.936796427,0.6825246210000000,0.228876606
Sweden,Western Europe,2018,7.314,1.355,1.501,0.9130000000000000,0.659,0.285,0.38300000000000000,10.75016117,46637.54297,72.74526978,0.919106185,0.928836584,0.580782294,0.23926638100000000
Australia,North America and ANZ,2018,7.272,1.34,1.5730000000000000,0.91,0.647,0.361,0.302,10.70041943,44374.46484,72.65029907,0.948141158,0.918003738,0.694878876,0.38852906200000000
