Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Afghanistan,South Asia,2019,3.2030000000000000,0.35,0.517,0.361,0.0,0.158,0.025,7.458468914,0.419972867,52.40000153,0.393656164,-0.096548922,0.9238491060000000,0.34148222200000000,,0.37492969600000000
Albania,Central and Eastern Europe,2019,4.719000000000000,0.9470000000000000,0.848,0.8740000000000000,0.38300000000000000,0.17800000000000000,0.027000000000000000,9.456568718,0.686364889,69.0,0.777351439,-0.10078410800000000,0.914284289,0.336627871,0.30325,0.397716045
Algeria,Middle East and North Africa,2019,5.211,1.002,1.16,0.785,0.086,0.073,0.114,9.537368774000000,0.803258657,66.09999847,0.38508343700000000,-0.017092422,0.740609348,,0.276,0.304484367
Argentina,Sub-Saharan Africa,2019,6.086,1.092,1.432,0.8810000000000000,0.47100000000000000,0.066,0.05,9.772139549,0.89637053,69.0,0.8170526030000000,-0.20261475400000000,0.830459774,0.273853004,0.460705882,0.396574169
Armenia,Latin America and Caribbean,2019,4.559,0.85,1.055,0.815,0.28300000000000000,0.095,0.064,,,,,,,,,
Australia,Commonwealth of Independent States,2019,7.228,1.3720000000000000,1.548,1.036,0.557,0.332,0.29,10.72549248,0.942774355,73.90000153,0.917536914,0.117621675,0.430208653,0.46870002200000000,0.34333333300000000,0.577555776
Austria,North America and ANZ,2019,7.246,1.376,1.475,1.016,0.532,0.244,0.226,10.75617981,0.964488804,73.30000305,0.90342766,0.063280828,0.45708888800000000,0.512338281,0.302692308,0.335094452
Azerbaijan,Western Europe ,2019,5.208000000000000,1.043,1.147,0.769,0.35100000000000000,0.035,0.182,9.704785347,0.88675642,65.80000305,0.8542485240000000,-0.231503099,0.457260668,0.8578453660000000,0.2836,0.260580987
Bahrain,Commonwealth of Independent States,2019,6.199,1.3620000000000000,1.368,0.871,0.536,0.255,0.11,,,,,,,,,
Bangladesh,Middle East and North Africa,2019,4.456,0.562,0.9280000000000000,0.723,0.527,0.166,0.14300000000000000,8.323946953,0.6731721760000000,64.80000305,0.90193665,-0.047552045,0.6560046080000000,0.8879908320000000,0.32775,0.429045439
